"month","monthly_transactions","monthly_active_users","monthly_src_usdc","monthly_dst_usdc","monthly_usdc","transactions_mtd","active_users_mtd","volume_mtd"
"2025-12-01",72,4,7.539041999999999,5.755000000000001,13.294042000000001,58,2,0
"2026-01-01",183,37,250835.60900699996,245136.961,495972.570007,55,19,16592.717777
"2026-02-01",260,56,86076.88831800001,84159.73899999997,170236.62731799998,168,43,114553.16241599998
"2026-03-01",523,48,71200.696004,70084.26800000003,141284.964004,336,38,79447.742677
"2026-04-01",521,59,192196.21821899997,190375.3909999999,382571.60921899986,343,46,273926.932558
"2026-05-01",621,58,145156.384721,142847.3330000001,288003.7177210001,402,38,205080.78043700004
"2026-06-01",540,43,110872.833976,111148.44899999998,222021.282976,358,30,149777.17772699997
"2026-07-01",229,30,73891.171493,89125.66399999998,163016.835493,228,30,163016.835493
